model,segment,mean,std,min,max
boosting_adaptive_daily,full,83.02874409863097,0.3816914786231424,82.65232293103796,83.4154961473522
boosting_adaptive_daily,post_drift_d5_d6,78.05025875641843,0.4930565954347421,77.64886014139476,78.60062100190699
boosting_adaptive_daily,pre_drift_d0_d2,85.93076844230082,0.22267975041355678,85.67416959168459,86.07335225212724
boosting_adaptive_daily,transition_d3_d4,83.60964488368109,0.2399424216718184,83.38273906935997,83.86078467942654
boosting_static,full,82.52772097084413,0.24084545023395695,82.26483769826868,82.73774899048429
boosting_static,post_drift_d5_d6,75.87055266111719,0.19034353138728416,75.70590738116846,76.07896895193859
boosting_static,pre_drift_d0_d2,86.06975694114557,0.14234478115262414,85.91592764865993,86.19681586225018
boosting_static,transition_d3_d4,83.6448996583528,0.27271562279700345,83.47805011646724,83.95961371503314
naive_day,full,76.09536981698442,0.20589675580667954,75.86208717953656,76.25173370298118
naive_day,post_drift_d5_d6,71.82032040110283,0.6322133856640515,71.4356233564355,72.54997693834133
naive_day,pre_drift_d0_d2,83.68542792636201,0.2025801075718987,83.46247321041113,83.85820043879757
naive_day,transition_d3_d4,67.16309736987539,1.886245893519686,65.78874521814758,69.31358841289459
naive_week,full,78.4250467474359,0.3125376471282047,78.15830994520057,78.76893448168566
naive_week,post_drift_d5_d6,70.24775020876042,0.5856195929982649,69.62199618771199,70.78260522846513
naive_week,pre_drift_d0_d2,83.79478784530282,0.3183676005124199,83.43497747845925,84.0399640329298
naive_week,transition_d3_d4,80.0511913781703,0.35473305082489665,79.6417828379537,80.2670321982748
ridge_static,full,75.38107274437749,0.17698617000545033,75.18069827065513,75.51606884625265
ridge_static,post_drift_d5_d6,68.37786639659699,0.3874942968117043,67.98134838280488,68.7556579315078
ridge_static,pre_drift_d0_d2,78.46556027203417,0.18547751358803105,78.30477803936377,78.66848184699064
ridge_static,transition_d3_d4,77.49028392802866,0.6150847279771725,76.90648184205806,78.13248565029254
