model,station_id,accuracy,mae,rows
naive_last,ST01,70.50440432729343,78.74664679582712,671
naive_last,ST02,71.88812834644125,106.80625931445604,671
naive_last,ST03,70.4252796205493,68.7645305514158,671
naive_last,ST04,68.47519446929805,96.09239940387481,671
naive_last,ST05,70.71639922308486,81.56333830104322,671
naive_last,ST06,75.36808384909651,118.03129657228018,671
naive_last,ST07,75.23245199846521,210.67660208643815,671
naive_last,ST08,74.40624652485424,144.05812220566318,671
naive_last,ST09,79.68079001925071,65.4381520119225,671
naive_last,ST10,79.47995869708063,52.12518628912071,671
naive_last,ST11,78.39222568562224,61.46944858420268,671
naive_last,ST12,78.26365768598961,73.75260804769002,671
naive_day,ST01,81.7239954896116,48.79284649776453,671
naive_day,ST02,81.14146743287505,71.64977645305514,671
naive_day,ST03,79.77822645258469,47.01788375558867,671
naive_day,ST04,67.17416919684547,100.0581222056632,671
naive_day,ST05,67.88001690807039,89.4634873323398,671
naive_day,ST06,75.65732591049047,116.64530551415797,671
naive_day,ST07,79.70085657269304,172.6676602086438,671
naive_day,ST08,79.276481272605,116.64530551415797,671
naive_day,ST09,70.82083888642086,93.97168405365127,671
naive_day,ST10,68.91075283957571,78.97317436661699,671
naive_day,ST11,79.979044974723,56.95529061102832,671
naive_day,ST12,78.3018702179432,73.62295081967213,671
naive_week,ST01,84.71547710754596,40.806259314456035,671
naive_week,ST02,74.56488908937573,96.63636363636364,671
naive_week,ST03,83.79322501041567,37.682563338301044,671
naive_week,ST04,82.37919924119083,53.71087928464978,671
naive_week,ST05,72.48211543503503,76.64530551415797,671
naive_week,ST06,62.47130905358753,179.8301043219076,671
naive_week,ST07,73.73428200496528,223.42026825633383,671
naive_week,ST08,81.03722178975964,106.73472429210135,671
naive_week,ST09,80.98437731378647,61.23994038748137,671
naive_week,ST10,83.27877123814888,42.47540983606557,671
naive_week,ST11,83.9908845640045,45.5424739195231,671
naive_week,ST12,81.79546193241214,61.76900149031297,671
ridge_static,ST01,75.79033824674501,64.63438488526985,671
ridge_static,ST02,76.41187463927427,89.6190572106798,671
ridge_static,ST03,75.7378216688145,56.41227648792706,671
ridge_static,ST04,73.56676371168052,80.57252237386396,671
ridge_static,ST05,75.5027780447661,68.23188230818971,671
ridge_static,ST06,60.529011289859326,189.1372131143298,671
ridge_static,ST07,76.33639510204533,201.28629094443068,671
ridge_static,ST08,77.0103966873053,129.40028849992783,671
ridge_static,ST09,80.20420013565598,63.75250622183734,671
ridge_static,ST10,79.09607227365395,53.10033790015249,671
ridge_static,ST11,76.92391727462919,65.64646871881384,671
ridge_static,ST12,75.05881017343205,84.62683237815249,671
boosting_static,ST01,85.664507625111,38.272559985430206,671
boosting_static,ST02,82.85506493327787,65.13925515998223,671
boosting_static,ST03,85.1548650830493,34.51659797418872,671
boosting_static,ST04,82.5351942914453,53.235382658366646,671
boosting_static,ST05,81.17780726168233,52.42527671300155,671
boosting_static,ST06,74.15114185819199,123.86264319427018,671
boosting_static,ST07,76.30513417118287,201.55220126755816,671
boosting_static,ST08,84.56717136912359,86.86589542424244,671
boosting_static,ST09,83.26611399155487,53.89159211447031,671
boosting_static,ST10,84.97529615976093,38.165882565738734,671
boosting_static,ST11,86.13905617297374,39.431389901965844,671
boosting_static,ST12,84.17556176799891,53.693191505702146,671
boosting_adaptive_daily,ST01,85.81349938790228,37.874785285430825,671
boosting_adaptive_daily,ST02,83.08464858677968,64.2669912448483,671
boosting_adaptive_daily,ST03,85.10373121693851,34.63548992830608,671
boosting_adaptive_daily,ST04,82.27565066218999,54.02651109406286,671
boosting_adaptive_daily,ST05,81.63837106771304,51.14247266828477,671
boosting_adaptive_daily,ST06,78.23051339758834,104.31509727680209,671
boosting_adaptive_daily,ST07,78.21605151882865,185.29764213053352,671
boosting_adaptive_daily,ST08,84.4844658860181,87.3314151302073,671
boosting_adaptive_daily,ST09,83.20160159431825,54.099354722417324,671
boosting_adaptive_daily,ST10,85.25474756019973,37.45601770281785,671
boosting_adaptive_daily,ST11,85.47338123030958,41.32509126456566,671
boosting_adaptive_daily,ST12,83.44429650124674,56.17441487891431,671
