model,day,accuracy,mae,rows
naive_last,0,73.98768890717061,101.8671875,1152
naive_last,1,75.37060739209865,97.03559027777777,1152
naive_last,2,74.79781245508902,103.79947916666667,1152
naive_last,3,74.66513550359883,78.22829861111111,1152
naive_last,4,74.2112810109329,78.79253472222223,1152
naive_last,5,74.27677204566334,106.35329861111111,1152
naive_last,6,73.46589225014608,109.27982456140352,1140
naive_day,0,83.98902551918603,61.267361111111114,1152
naive_day,1,83.65193746950824,63.44965277777778,1152
naive_day,2,81.92510708304452,74.86458333333333,1152
naive_day,3,48.61813893627314,130.44618055555554,1152
naive_day,4,80.70983994364846,62.864583333333336,1152
naive_day,5,60.87826749284857,157.64409722222223,1152
naive_day,6,82.09181558689029,71.38508771929824,1140
naive_week,0,83.3583422315238,64.02517361111111,1152
naive_week,1,84.31861826575482,60.56336805555556,1152
naive_week,2,83.41745060383607,68.0078125,1152
naive_week,3,79.7374757508739,64.44791666666667,1152
naive_week,4,75.70979578754672,80.73958333333333,1152
naive_week,5,70.43712875114264,132.79427083333334,1152
naive_week,6,71.12947105192414,128.65877192982455,1140
ridge_static,0,78.51780494450469,81.68275160917347,1152
ridge_static,1,79.64432817146898,79.44805241114608,1152
ridge_static,2,78.32136218476472,89.41689108863,1152
ridge_static,3,74.38588005820404,74.06293717382479,1152
ridge_static,4,74.07907409406853,83.94398281235034,1152
ridge_static,5,66.31210481045252,140.3585920353853,1152
ridge_static,6,69.22281416438528,120.08758451393963,1140
boosting_static,0,85.44731699692362,54.3637576296315,1152
boosting_static,1,86.82069455722592,51.354937630730646,1152
boosting_static,2,85.5039924663616,60.73753928805641,1152
boosting_static,3,82.86361107599292,53.80278628901292,1152
boosting_static,4,80.4661645736423,64.97343568611808,1152
boosting_static,5,74.08596451497134,109.8906022228741,1152
boosting_static,6,77.92655297524165,95.75792988077134,1140
boosting_adaptive_daily,0,85.38271812234133,54.89814487095002,1152
boosting_adaptive_daily,1,86.71390496346224,51.791910343851995,1152
boosting_adaptive_daily,2,85.06165007312784,62.4044502394759,1152
boosting_adaptive_daily,3,82.98638664963363,52.626165931510194,1152
boosting_adaptive_daily,4,80.28987079094904,65.16328478225108,1152
boosting_adaptive_daily,5,73.94143324987455,110.88924127530298,1152
boosting_adaptive_daily,6,83.29258726105685,73.59347513843417,1140
